"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Kittitas","United States President/Vice President","Cornel West / Melina Abdullah","Justice For All Party Nominees","37","0.1396","Federal"
"Kittitas","United States President/Vice President","Shiva Ayyadurai / Crystal Ellis","Independent Candidates","23","0.0868","Federal"
"Kittitas","United States President/Vice President","WRITE-IN"," ","190","0.717","Federal"
"Kittitas","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","11028","42.9824","Federal"
"Kittitas","United States U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)","14556","56.7331","Federal"
"Kittitas","United States U.S. Senator","WRITE-IN"," ","73","0.2845","Federal"
"Kittitas","Congressional District 8 U.S. Representative","Kim Schrier","(Prefers Democratic Party)","11803","45.5785","Congressional"
"Kittitas","Congressional District 8 U.S. Representative","Carmen Goers","(Prefers Republican Party)","14032","54.186","Congressional"
"Kittitas","Congressional District 8 U.S. Representative","WRITE-IN"," ","61","0.2356","Congressional"
"Kittitas","Washington State Governor","Bob Ferguson","(Prefers Democratic Party)","9662","36.9866","State Executive"
"Kittitas","Washington State Governor","Dave Reichert","(Prefers Republican Party)","16394","62.757","State Executive"
"Kittitas","Washington State Governor","WRITE-IN"," ","67","0.2565","State Executive"
"Kittitas","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","9731","38.11","State Executive"
"Kittitas","Washington State Lt. Governor","Dan Matthews","(Prefers Republican Party)","15774","61.7765","State Executive"
"Kittitas","Washington State Lt. Governor","WRITE-IN"," ","29","0.1136","State Executive"
"Kittitas","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","10598","41.6867","State Executive"
"Kittitas","Washington State Secretary of State","Dale Whitaker","(Prefers Republican Party)","14805","58.2347","State Executive"
"Kittitas","Washington State Secretary of State","WRITE-IN"," ","20","0.0787","State Executive"
"Kittitas","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","10210","40.4404","State Executive"
"Kittitas","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","15013","59.4645","State Executive"
"Kittitas","Washington State State Treasurer","WRITE-IN"," ","24","0.0951","State Executive"
"Kittitas","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","10204","40.6404","State Executive"
"Kittitas","Washington State State Auditor","Matt Hawkins","(Prefers Republican Party)","14877","59.252","State Executive"
"Kittitas","Washington State State Auditor","WRITE-IN"," ","27","0.1075","State Executive"
"Kittitas","Washington State Attorney General","Pete Serrano","(Prefers Republican Party)","15516","61.1733","State Executive"
"Kittitas","Washington State Attorney General","Nick Brown","(Prefers Democratic Party)","9826","38.7399","State Executive"
"Kittitas","Washington State Attorney General","WRITE-IN"," ","22","0.0867","State Executive"
"Kittitas","Washington State Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)","16206","64.3248","State Executive"
"Kittitas","Washington State Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)","8943","35.4965","State Executive"
"Kittitas","Washington State Commissioner of Public Lands","WRITE-IN"," ","45","0.1786","State Executive"
"Kittitas","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","9059","42.1839","State Executive"
"Kittitas","Washington State Superintendent of Public Instruction","David Olson"," ","12252","57.0524","State Executive"
"Kittitas","Washington State Superintendent of Public Instruction","WRITE-IN"," ","164","0.7637","State Executive"
"Kittitas","Washington State Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)","9817","39.631","State Executive"
"Kittitas","Washington State Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)","14921","60.2358","State Executive"
"Kittitas","Washington State Insurance Commissioner","WRITE-IN"," ","33","0.1332","State Executive"
"Kittitas","LEGISLATIVE DISTRICT 13 State Representative Pos. 1","Tom Dent","(Prefers Republican Party)","18666","95.9889","Legislative"
"Kittitas","LEGISLATIVE DISTRICT 13 State Representative Pos. 1","WRITE-IN"," ","780","4.0111","Legislative"
"Kittitas","LEGISLATIVE DISTRICT 13 State Representative Pos. 2","Alex Ybarra","(Prefers Republican Party)","18362","96.3581","Legislative"
"Kittitas","LEGISLATIVE DISTRICT 13 State Representative Pos. 2","WRITE-IN"," ","694","3.6419","Legislative"
"Kittitas","Kittitas Commissioner 1","Cory Wright","(Prefers GOP Party)","17366","94.5912","County"
"Kittitas","Kittitas Commissioner 1","WRITE-IN"," ","993","5.4088","County"
"Kittitas","Kittitas Commissioner 2","Laura Osiadacz","(Prefers Republican Party)","17995","95.6367","County"
"Kittitas","Kittitas Commissioner 2","WRITE-IN"," ","821","4.3633","County"
"Kittitas","SUPREME COURT Justice Position #02","Sal Mungia"," ","7585","36.0778","Judicial"
"Kittitas","SUPREME COURT Justice Position #02","Dave Larson"," ","13307","63.2943","Judicial"
"Kittitas","SUPREME COURT Justice Position #02","WRITE-IN"," ","132","0.6279","Judicial"
"Kittitas","SUPREME COURT Justice Position #08","Steve Gonzalez"," ","15716","97.6756","Judicial"
"Kittitas","SUPREME COURT Justice Position #08","WRITE-IN"," ","374","2.3244","Judicial"
"Kittitas","SUPREME COURT Justice Position #09","Sheryl Gordon McCloud"," ","15400","97.2591","Judicial"
"Kittitas","SUPREME COURT Justice Position #09","WRITE-IN"," ","434","2.7409","Judicial"
"Kittitas","Court of Appeals, Division 3, District 3 Judge Position 2","Rob Lawrence-Berrey"," ","15226","97.8095","Judicial"
"Kittitas","Court of Appeals, Division 3, District 3 Judge Position 2","WRITE-IN"," ","341","2.1905","Judicial"
"Kittitas","Kittitas Superior Court Judge Position 1","Chris Herion"," ","11228","50.9669","Judicial"
"Kittitas","Kittitas Superior Court Judge Position 1","Matt Mills"," ","10675","48.4567","Judicial"
"Kittitas","Kittitas Superior Court Judge Position 1","WRITE-IN"," ","127","0.5765","Judicial"
"Kittitas","Kittitas Superior Court Judge Position 2","James Kirkham"," ","11594","51.6368","Judicial"
"Kittitas","Kittitas Superior Court Judge Position 2","Patricia Todd"," ","10765","47.9446","Judicial"
"Kittitas","Kittitas Superior Court Judge Position 2","WRITE-IN"," ","94","0.4187","Judicial"
"Kittitas","PUBLIC UTILITY DISTRICT 1 Commissioner 2","Shan Rowbotham"," ","15718","97.7488","Public Utility"
"Kittitas","PUBLIC UTILITY DISTRICT 1 Commissioner 2","WRITE-IN"," ","362","2.2512","Public Utility"
"Klickitat","Washington State Initiative Measure No. 2066","Yes"," ","7567","59.7002","State Executive"
"Klickitat","Washington State Initiative Measure No. 2066","No"," ","5108","40.2998","State Executive"
"Klickitat","Washington State Initiative Measure No. 2109","Yes"," ","5582","42.2047","State Executive"
"Klickitat","Washington State Initiative Measure No. 2109","No"," ","7644","57.7953","State Executive"
"Klickitat","Washington State Initiative Measure No. 2117","Yes"," ","6295","48.1748","State Executive"
"Klickitat","Washington State Initiative Measure No. 2117","No"," ","6772","51.8252","State Executive"
"Klickitat","Washington State Initiative Measure No. 2124","Yes"," ","6025","46.8872","State Executive"
"Klickitat","Washington State Initiative Measure No. 2124","No"," ","6825","53.1128","State Executive"
"Klickitat","United States President/Vice President","Kamala D. Harris / Tim Walz","Democratic Party Nominees","5917","43.485","Federal"
"Klickitat","United States President/Vice President","Donald J. Trump / JD Vance","Republican Party Nominees","7178","52.7523","Federal"
"Klickitat","United States President/Vice President","Robert F. Kennedy Jr. / Nicole Shanahan","We The People Party Nominees","256","1.8814","Federal"
"Klickitat","United States President/Vice President","Jill Stein / Rudolph Ware","Green Party Nominees","69","0.5071","Federal"
"Klickitat","United States President/Vice President","Claudia De la Cruz / Karina Garcia","Socialism and Liberation Party Nominees","11","0.0808","Federal"
"Klickitat","United States President/Vice President","Rachele Fruit / Dennis Richter","Socialist Workers Party Nominees","3","0.022","Federal"
"Klickitat","United States President/Vice President","Joseph Kishore / Jerry White","Socialist Equality Party Nominees","1","0.0073","Federal"
"Klickitat","United States President/Vice President","Chase Oliver / Mike ter Maat","Libertarian Party Nominees","51","0.3748","Federal"
"Klickitat","United States President/Vice President","Cornel West / Melina Abdullah","Justice For All Party Nominees","12","0.0882","Federal"
"Klickitat","United States President/Vice President","Shiva Ayyadurai / Crystal Ellis","Independent Candidates","29","0.2131","Federal"
"Klickitat","United States President/Vice President","WRITE-IN"," ","80","0.5879","Federal"
"Klickitat","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","5962","45.4178","Federal"
"Klickitat","United States U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)","7125","54.2774","Federal"
"Klickitat","United States U.S. Senator","WRITE-IN"," ","40","0.3047","Federal"
"Klickitat","Congressional District 4 U.S. Representative","Jerrod Sessler","(Prefers Republican Party)","4928","40.4266","Congressional"
"Klickitat","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","6936","56.8991","Congressional"
"Klickitat","Congressional District 4 U.S. Representative","WRITE-IN"," ","326","2.6743","Congressional"
"Klickitat","Washington State Governor","Bob Ferguson","(Prefers Democratic Party)","5691","42.6772","State Executive"
"Klickitat","Washington State Governor","Dave Reichert","(Prefers Republican Party)","7625","57.1804","State Executive"
"Klickitat","Washington State Governor","WRITE-IN"," ","19","0.1425","State Executive"
"Klickitat","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","5489","41.6622","State Executive"
"Klickitat","Washington State Lt. Governor","Dan Matthews","(Prefers Republican Party)","7679","58.2846","State Executive"
"Klickitat","Washington State Lt. Governor","WRITE-IN"," ","7","0.0531","State Executive"
"Klickitat","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","5914","45.1278","State Executive"
"Klickitat","Washington State Secretary of State","Dale Whitaker","(Prefers Republican Party)","7181","54.7959","State Executive"
"Klickitat","Washington State Secretary of State","WRITE-IN"," ","10","0.0763","State Executive"
"Klickitat","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","5765","44.2305","State Executive"
"Klickitat","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","7260","55.7005","State Executive"
"Klickitat","Washington State State Treasurer","WRITE-IN"," ","9","0.0691","State Executive"
"Klickitat","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","5777","44.3907","State Executive"
"Klickitat","Washington State State Auditor","Matt Hawkins","(Prefers Republican Party)","7226","55.5248","State Executive"
"Klickitat","Washington State State Auditor","WRITE-IN"," ","11","0.0845","State Executive"
"Klickitat","Washington State Attorney General","Pete Serrano","(Prefers Republican Party)","7495","57.5035","State Executive"
"Klickitat","Washington State Attorney General","Nick Brown","(Prefers Democratic Party)","5529","42.4198","State Executive"
"Klickitat","Washington State Attorney General","WRITE-IN"," ","10","0.0767","State Executive"
"Klickitat","Washington State Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)","7739","59.8253","State Executive"
"Klickitat","Washington State Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)","5112","39.5176","State Executive"
"Klickitat","Washington State Commissioner of Public Lands","WRITE-IN"," ","85","0.6571","State Executive"
"Klickitat","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","4457","40.4557","State Executive"
"Klickitat","Washington State Superintendent of Public Instruction","David Olson"," ","6488","58.8908","State Executive"
"Klickitat","Washington State Superintendent of Public Instruction","WRITE-IN"," ","72","0.6535","State Executive"
"Klickitat","Washington State Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)","5468","42.9199","State Executive"
"Klickitat","Washington State Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)","7255","56.9466","State Executive"
"Klickitat","Washington State Insurance Commissioner","WRITE-IN"," ","17","0.1334","State Executive"
"Klickitat","LEGISLATIVE DISTRICT 14 State Senator","Curtis King","(Prefers Republican Party)","2849","68.6837","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 14 State Senator","Maria Beltran","(Prefers Democratic Party)","1296","31.244","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 14 State Senator","WRITE-IN"," ","3","0.0723","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 14 State Representative Pos. 1","Chelsea Dimas","(Prefers Democratic Party)","1232","30.0341","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 14 State Representative Pos. 1","Gloria Mendoza","(Prefers Republican Party)","2865","69.844","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 14 State Representative Pos. 1","WRITE-IN"," ","5","0.1219","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 14 State Representative Pos. 2","Deb Manjarrez","(Prefers Republican Party)","2804","68.5742","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 14 State Representative Pos. 2","Ana Ruiz Kennedy","(Prefers Democratic Party)","1284","31.4013","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 14 State Representative Pos. 2","WRITE-IN"," ","1","0.0245","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 17 State Senator","Paul Harris","(Prefers Republican Party)","4674","52.7004","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 17 State Senator","Marla Keethler","(Prefers Democratic Party)","4179","47.1192","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 17 State Senator","WRITE-IN"," ","16","0.1804","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 17 State Representative Pos. 1","Kevin Waters","(Prefers Republican Party)","5715","96.5209","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 17 State Representative Pos. 1","WRITE-IN"," ","206","3.4791","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 17 State Representative Pos. 2","Terri Niles","(Prefers Democratic Party)","4034","45.9558","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 17 State Representative Pos. 2","David Stuebe","(Prefers Republican Party)","4736","53.9531","Legislative"
"Klickitat","LEGISLATIVE DISTRICT 17 State Representative Pos. 2","WRITE-IN"," ","8","0.0911","Legislative"
"Klickitat","Klickitat Klickitat County Commissioner 1","Amanda Kitchings","(Prefers Independent Party)","6178","47.9547","County"
"Klickitat","Klickitat Klickitat County Commissioner 1","Todd Andrews","(Prefers Republican Party)","6689","51.9211","County"
"Klickitat","Klickitat Klickitat County Commissioner 1","WRITE-IN"," ","16","0.1242","County"
"Klickitat","Klickitat Klickitat County Commissioner 3","Ron Ihrig","(Prefers Republican Party)","7371","61.4814","County"
"Klickitat","Klickitat Klickitat County Commissioner 3","Dan Christopher","(Prefers Republican Party)","4488","37.4343","County"
"Klickitat","Klickitat Klickitat County Commissioner 3","WRITE-IN"," ","130","1.0843","County"
"Klickitat","SUPREME COURT Justice Position #02","Sal Mungia"," ","4488","41.2955","Judicial"
"Klickitat","SUPREME COURT Justice Position #02","Dave Larson"," ","6327","58.2168","Judicial"
"Klickitat","SUPREME COURT Justice Position #02","WRITE-IN"," ","53","0.4877","Judicial"
"Klickitat","SUPREME COURT Justice Position #08","Steve Gonzalez"," ","7685","98.2234","Judicial"
"Klickitat","SUPREME COURT Justice Position #08","WRITE-IN"," ","139","1.7766","Judicial"
"Klickitat","SUPREME COURT Justice Position #09","Sheryl Gordon McCloud"," ","7568","98.0946","Judicial"
"Klickitat","SUPREME COURT Justice Position #09","WRITE-IN"," ","147","1.9054","Judicial"
"Klickitat","Court of Appeals, Division 3, District 3 Judge Position 2","Rob Lawrence-Berrey"," ","7389","98.5857","Judicial"
"Klickitat","Court of Appeals, Division 3, District 3 Judge Position 2","WRITE-IN"," ","106","1.4143","Judicial"
"Klickitat","Klickitat, Skamania Superior Court Judge Position 1","Randall Krog"," ","7572","98.5424","Judicial"
"Klickitat","Klickitat, Skamania Superior Court Judge Position 1","WRITE-IN"," ","112","1.4576","Judicial"
"Klickitat","PUBLIC UTILITY DISTRICT # 1 Public Utility District #1 Commissioner Pos. 1","Stoner Bell"," ","7598","98.1147","Public Utility"
"Klickitat","PUBLIC UTILITY DISTRICT # 1 Public Utility District #1 Commissioner Pos. 1","WRITE-IN"," ","146","1.8853","Public Utility"
"Klickitat","EMERGENCY MEDICAL SERVICES DIST #1 Proposition 1","Yes"," ","9253","73.782","EMS"
"Klickitat","EMERGENCY MEDICAL SERVICES DIST #1 Proposition 1","No"," ","3288","26.218","EMS"
"Lewis","Washington State Initiative Measure No. 2066","Yes"," ","28585","65.2209","State Executive"
"Lewis","Washington State Initiative Measure No. 2066","No"," ","15243","34.7791","State Executive"
"Lewis","Washington State Initiative Measure No. 2109","Yes"," ","22267","50.4738","State Executive"
"Lewis","Washington State Initiative Measure No. 2109","No"," ","21849","49.5262","State Executive"
"Lewis","Washington State Initiative Measure No. 2117","Yes"," ","25169","57.2517","State Executive"
"Lewis","Washington State Initiative Measure No. 2117","No"," ","18793","42.7483","State Executive"
"Lewis","Washington State Initiative Measure No. 2124","Yes"," ","24324","55.8005","State Executive"
"Lewis","Washington State Initiative Measure No. 2124","No"," ","19267","44.1995","State Executive"
"Lewis","United States President/Vice President","Kamala D. Harris / Tim Walz","Democratic Party Nominees","14433","31.8342","Federal"
"Lewis","United States President/Vice President","Donald J. Trump / JD Vance","Republican Party Nominees","29322","64.6742","Federal"
"Lewis","United States President/Vice President","Robert F. Kennedy Jr. / Nicole Shanahan","We The People Party Nominees","826","1.8219","Federal"
"Lewis","United States President/Vice President","Jill Stein / Rudolph Ware","Green Party Nominees","158","0.3485","Federal"
"Lewis","United States President/Vice President","Claudia De la Cruz / Karina Garcia","Socialism and Liberation Party Nominees","59","0.1301","Federal"
"Lewis","United States President/Vice President","Rachele Fruit / Dennis Richter","Socialist Workers Party Nominees","17","0.0375","Federal"
"Lewis","United States President/Vice President","Joseph Kishore / Jerry White","Socialist Equality Party Nominees","13","0.0287","Federal"
"Lewis","United States President/Vice President","Chase Oliver / Mike ter Maat","Libertarian Party Nominees","194","0.4279","Federal"
"Lewis","United States President/Vice President","Cornel West / Melina Abdullah","Justice For All Party Nominees","45","0.0993","Federal"
"Lewis","United States President/Vice President","Shiva Ayyadurai / Crystal Ellis","Independent Candidates","45","0.0993","Federal"
"Lewis","United States President/Vice President","WRITE-IN"," ","226","0.4985","Federal"
"Lewis","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","15912","36.1029","Federal"
"Lewis","United States U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)","28030","63.5976","Federal"
"Lewis","United States U.S. Senator","WRITE-IN"," ","132","0.2995","Federal"
"Lewis","CONGRESSIONAL DISTRICT 3 U.S. Representative","Marie Gluesenkamp Perez","(Prefers Democratic Party)","17430","39.0816","Congressional"
"Lewis","CONGRESSIONAL DISTRICT 3 U.S. Representative","Joe Kent","(Prefers Republican Party)","27046","60.6426","Congressional"
"Lewis","CONGRESSIONAL DISTRICT 3 U.S. Representative","WRITE-IN"," ","123","0.2758","Congressional"
"Lewis","Washington State Governor","Bob Ferguson","(Prefers Democratic Party)","13751","30.6088","State Executive"
"Lewis","Washington State Governor","Dave Reichert","(Prefers Republican Party)","31084","69.1909","State Executive"
"Lewis","Washington State Governor","WRITE-IN"," ","90","0.2003","State Executive"
"Lewis","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","14050","31.8688","State Executive"
"Lewis","Washington State Lt. Governor","Dan Matthews","(Prefers Republican Party)","30002","68.0518","State Executive"
"Lewis","Washington State Lt. Governor","WRITE-IN"," ","35","0.0794","State Executive"
"Lewis","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","14533","33.2092","State Executive"
"Lewis","Washington State Secretary of State","Dale Whitaker","(Prefers Republican Party)","29189","66.6994","State Executive"
"Lewis","Washington State Secretary of State","WRITE-IN"," ","40","0.0914","State Executive"
"Lewis","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","13918","31.9682","State Executive"
"Lewis","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","29587","67.9583","State Executive"
"Lewis","Washington State State Treasurer","WRITE-IN"," ","32","0.0735","State Executive"
"Lewis","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","14115","32.4595","State Executive"
"Lewis","Washington State State Auditor","Matt Hawkins","(Prefers Republican Party)","29335","67.46","State Executive"
"Lewis","Washington State State Auditor","WRITE-IN"," ","35","0.0805","State Executive"
"Lewis","Washington State Attorney General","Pete Serrano","(Prefers Republican Party)","29963","68.4806","State Executive"
"Lewis","Washington State Attorney General","Nick Brown","(Prefers Democratic Party)","13764","31.4577","State Executive"
"Lewis","Washington State Attorney General","WRITE-IN"," ","27","0.0617","State Executive"
"Lewis","Washington State Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)","31165","71.7311","State Executive"
"Lewis","Washington State Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)","12024","27.6751","State Executive"
"Lewis","Washington State Commissioner of Public Lands","WRITE-IN"," ","258","0.5938","State Executive"
"Lewis","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","13524","35.6514","State Executive"
"Lewis","Washington State Superintendent of Public Instruction","David Olson"," ","24190","63.7687","State Executive"
"Lewis","Washington State Superintendent of Public Instruction","WRITE-IN"," ","220","0.58","State Executive"
"Lewis","Washington State Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)","13567","31.7699","State Executive"
"Lewis","Washington State Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)","29077","68.0896","State Executive"
"Lewis","Washington State Insurance Commissioner","WRITE-IN"," ","60","0.1405","State Executive"
"Lewis","LEGISLATIVE DISTRICT 19 State Senator","Jeff Wilson","(Prefers Republican Party)","9057","74.5432","Legislative"
"Lewis","LEGISLATIVE DISTRICT 19 State Senator","Andi Day","(Prefers Democratic Party)","3090","25.4321","Legislative"
"Lewis","LEGISLATIVE DISTRICT 19 State Senator","WRITE-IN"," ","3","0.0247","Legislative"
"Lewis","LEGISLATIVE DISTRICT 19 State Representative Pos. 1","Jim Walsh","(Prefers Republican Party)","9067","74.2831","Legislative"
"Lewis","LEGISLATIVE DISTRICT 19 State Representative Pos. 1","Mike Coverdale","(Prefers Democratic Party)","3138","25.7087","Legislative"
"Lewis","LEGISLATIVE DISTRICT 19 State Representative Pos. 1","WRITE-IN"," ","1","0.0082","Legislative"
"Lewis","LEGISLATIVE DISTRICT 19 State Representative Pos. 2","Joel McEntire","(Prefers Republican Party)","9191","75.8834","Legislative"
"Lewis","LEGISLATIVE DISTRICT 19 State Representative Pos. 2","Terry Carlson","(Prefers Democratic Party)","2919","24.1001","Legislative"
"Lewis","LEGISLATIVE DISTRICT 19 State Representative Pos. 2","WRITE-IN"," ","2","0.0165","Legislative"
"Lewis","LEGISLATIVE DISTRICT 20 State Senator","John Braun","(Prefers Republican Party)","24346","97.1935","Legislative"
"Lewis","LEGISLATIVE DISTRICT 20 State Senator","WRITE-IN"," ","703","2.8065","Legislative"
"Lewis","LEGISLATIVE DISTRICT 20 State Representative Pos. 1","Peter Abbarno","(Prefers Republican Party)","24161","87.9669","Legislative"
"Lewis","LEGISLATIVE DISTRICT 20 State Representative Pos. 1","Melvin Kaleolani Apana","(Prefers Culture Republican Party)","2848","10.3692","Legislative"
"Lewis","LEGISLATIVE DISTRICT 20 State Representative Pos. 1","WRITE-IN"," ","457","1.6639","Legislative"
"Lewis","LEGISLATIVE DISTRICT 20 State Representative Pos. 2","Ed Orcutt","(Prefers GOP Party)","22933","97.4587","Legislative"
"Lewis","LEGISLATIVE DISTRICT 20 State Representative Pos. 2","WRITE-IN"," ","598","2.5413","Legislative"
"Lewis","Lewis County Commissioner, District 1","Sean Swope","(Prefers Republican Party)","29980","69.182","County"
"Lewis","Lewis County Commissioner, District 1","Damian A Bean","(Prefers Democratic Party)","13274","30.6311","County"
"Lewis","Lewis County Commissioner, District 1","WRITE-IN"," ","81","0.1869","County"
"Lewis","Lewis County Commissioner, District 2","Lindsey Remund Pollock","(Prefers Republican Party)","22038","57.3503","County"
"Lewis","Lewis County Commissioner, District 2","Christina Riley","(Prefers Republican Party)","15930","41.4552","County"
"Lewis","Lewis County Commissioner, District 2","WRITE-IN"," ","459","1.1945","County"
"Lewis","SUPREME COURT Justice Position #02","Sal Mungia"," ","9905","27.3967","Judicial"
"Lewis","SUPREME COURT Justice Position #02","Dave Larson"," ","26057","72.0722","Judicial"
"Lewis","SUPREME COURT Justice Position #02","WRITE-IN"," ","192","0.5311","Judicial"
"Lewis","SUPREME COURT Justice Position #08","Steve Gonzalez"," ","28138","98.1444","Judicial"
"Lewis","SUPREME COURT Justice Position #08","WRITE-IN"," ","532","1.8556","Judicial"
"Lewis","SUPREME COURT Justice Position #09","Sheryl Gordon McCloud"," ","27835","98.0209","Judicial"
"Lewis","SUPREME COURT Justice Position #09","WRITE-IN"," ","562","1.9791","Judicial"
"Lewis","COURT OF APPEALS, DIVISION 2, DISTRICT 3 Judge Position 1","Bernard F. Veljacic"," ","27652","98.3777","Judicial"
"Lewis","COURT OF APPEALS, DIVISION 2, DISTRICT 3 Judge Position 1","WRITE-IN"," ","456","1.6223","Judicial"
"Lewis","LEWIS SUPERIOR COURT Judge Position 1","J Andrew Toynbee"," ","28770","98.5612","Judicial"
"Lewis","LEWIS SUPERIOR COURT Judge Position 1","WRITE-IN"," ","420","1.4388","Judicial"
"Lewis","LEWIS SUPERIOR COURT Judge Position 2","Paul A. Strophy"," ","28166","98.4034","Judicial"
"Lewis","LEWIS SUPERIOR COURT Judge Position 2","WRITE-IN"," ","457","1.5966","Judicial"
"Lewis","LEWIS SUPERIOR COURT Judge Position 3","Joely Yeager"," ","28481","98.6457","Judicial"
"Lewis","LEWIS SUPERIOR COURT Judge Position 3","WRITE-IN"," ","391","1.3543","Judicial"
"Lewis","PUD DISTRICT-AT-LARGE Commissioner District 2","Dave Fenn"," ","16335","51.2246","Public Utility"
"Lewis","PUD DISTRICT-AT-LARGE Commissioner District 2","Angie Brown"," ","15425","48.3709","Public Utility"
"Lewis","PUD DISTRICT-AT-LARGE Commissioner District 2","WRITE-IN"," ","129","0.4045","Public Utility"
"Lewis","Lewis Two-tenths of One Percent Sales and Use Tax for Emergency 911 Communications Systems and Facilities","Yes"," ","25003","57.0962","County"
"Lewis","Lewis Two-tenths of One Percent Sales and Use Tax for Emergency 911 Communications Systems and Facilities","No"," ","18788","42.9038","County"
"Lewis","FIRE DISTRICT 11 - PE ELL Property Tax Levy for Fire Protection and Emergency Medical Services","Approved"," ","353","67.1103","Fire"
"Lewis","FIRE DISTRICT 11 - PE ELL Property Tax Levy for Fire Protection and Emergency Medical Services","Rejected"," ","173","32.8897","Fire"
"Lewis","FIRE DISTRICT 15 - WINLOCK Property Tax Levy for Fire Protection and Emergency Medical Services","Approved"," ","1581","45.418","Fire"
"Lewis","FIRE DISTRICT 15 - WINLOCK Property Tax Levy for Fire Protection and Emergency Medical Services","Rejected"," ","1900","54.582","Fire"
"Lincoln","Washington State Initiative Measure No. 2066","Yes"," ","4890","73.1598","State Executive"
"Lincoln","Washington State Initiative Measure No. 2066","No"," ","1794","26.8402","State Executive"
"Lincoln","Washington State Initiative Measure No. 2109","Yes"," ","3905","56.0499","State Executive"
"Lincoln","Washington State Initiative Measure No. 2109","No"," ","3062","43.9501","State Executive"
"Lincoln","Washington State Initiative Measure No. 2117","Yes"," ","4528","65.5567","State Executive"
"Lincoln","Washington State Initiative Measure No. 2117","No"," ","2379","34.4433","State Executive"
"Lincoln","Washington State Initiative Measure No. 2124","Yes"," ","4224","61.5743","State Executive"
"Lincoln","Washington State Initiative Measure No. 2124","No"," ","2636","38.4257","State Executive"
"Lincoln","United States President/Vice President","Kamala D. Harris / Tim Walz","Democratic Party Nominees","1678","23.4882","Federal"
"Lincoln","United States President/Vice President","Donald J. Trump / JD Vance","Republican Party Nominees","5272","73.7962","Federal"
"Lincoln","United States President/Vice President","Robert F. Kennedy Jr. / Nicole Shanahan","We The People Party Nominees","110","1.5398","Federal"
"Lincoln","United States President/Vice President","Jill Stein / Rudolph Ware","Green Party Nominees","21","0.294","Federal"
